endpoint_cluster,trials_included,trials_excluded,trials_unlinked,human_override_rate_pct,mean_ssi,human_confirmed_switch_rate_pct,ai_human_agreement_rate_pct,pooled_hr,pooled_hr_cri_lower,pooled_hr_cri_upper,between_trial_tau,i_squared_pct,mean_optimism_bias,evidence_strength
pathological_complete_response,32,5,5,0.0,45.99,5.4,0.0,0.7717874346463772,0.5130822476686133,1.133983999091408,0.6320722935768338,90.5,-0.414,Weak
event_free_disease_free_survival,20,8,7,0.0,49.33,6.7,0.0,0.8447164634212545,0.7393378217229283,0.9694398219509593,0.20796404417336758,73.0,-0.137,Strong
overall_survival,25,5,5,0.0,46.67,13.3,0.0,0.7204474558224304,0.6048285660765308,0.8766327123921527,0.39518476018788107,87.3,-0.281,Strong
progression_free_survival,55,10,14,0.0,47.83,7.7,0.0,0.6731190279829751,0.6149222931887233,0.7412417920294565,0.24453734260412233,70.2,-0.386,Strong
objective_response_rate,38,18,25,0.0,42.95,15.5,0.0,0.6661999101734304,0.47727211932583263,0.9604697948476687,0.6415654298100018,94.2,-0.515,Strong
other_endpoints,65,20,38,0.0,46.45,11.2,0.0,0.7224153928080939,0.4041419360851843,1.3264954337924733,1.0377214095032679,97.6,-0.49,Weak
