nct_id,snapshot_type,version,version_date,primary_outcomes,history_status,history_url
NCT02040857,pre_recruitment,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT02040857?tab=history
NCT02040857,pre_primary_completion,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT02040857?tab=history
NCT02040857,pre_publication,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT02040857?tab=history
NCT02040857,current,current,,"2-Year Treatment Discontinuation Rate [Time Frame: Evaluate upon completion of palbociclib, up to 2 years of treatment completion.]",CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT02040857?tab=history
NCT00921115,original,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00921115?tab=history
NCT00921115,pre_recruitment,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00921115?tab=history
NCT00921115,pre_primary_completion,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00921115?tab=history
NCT00921115,pre_publication,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00921115?tab=history
NCT00921115,current,current,,Pathologic Complete Response (PCR) Rate [Time Frame: 4 months],CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00921115?tab=history
NCT05415215,original,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT05415215?tab=history
NCT05415215,pre_recruitment,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT05415215?tab=history
NCT05415215,pre_primary_completion,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT05415215?tab=history
NCT05415215,pre_publication,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT05415215?tab=history
NCT05415215,current,current,,Cross-over Period: Percentage of Participants Who Preferred the Administration of PH FDC SC in the Home Setting Compared With the Hospital Setting in Question 1 of the Patient Preference Questionnaire (PPQ) [Time Frame: Upon completion of adjuvant cross-over period (Day 1 of Cycle 8 or 9; Cycle length = 21 days)],CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT05415215?tab=history
NCT00811135,original,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00811135?tab=history
NCT00811135,pre_recruitment,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00811135?tab=history
NCT00811135,pre_primary_completion,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00811135?tab=history
NCT00811135,pre_publication,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00811135?tab=history
NCT00811135,current,current,,"Percentage of Participants With a Best Overall Response (BOR) of Confirmed Complete Response (CR) or Partial Response (PR) [Time Frame: Screening until disease progression (assessed at screening, every 6 weeks up to Week 36, thereafter every 9 weeks during treatment period, and then every 3 months during follow-up, up to approximately 4 years)]",CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT00811135?tab=history
NCT03098550,original,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT03098550?tab=history
NCT03098550,pre_recruitment,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT03098550?tab=history
NCT03098550,pre_primary_completion,,,,CURRENT_ONLY_HISTORY_UNAVAILABLE,https://clinicaltrials.gov/study/NCT03098550?tab=history
